trip_id,train_type,departure,duration,service_id
06301,AVLO,2023-06-01 06:15:00,150,06301_01-06-2023-06.15
03063,AVE,2023-06-01 06:30:00,170,03063_01-06-2023-06.30
03071,AVE,2023-06-01 07:00:00,150,03071_01-06-2023-07.00
03073,AVE,2023-06-01 07:30:00,192,03073_01-06-2023-07.30
03081,AVE,2023-06-01 08:00:00,150,03081_01-06-2023-08.00
03083,AVE,2023-06-01 08:30:00,165,03083_01-06-2023-08.30
03091,AVE,2023-06-01 09:00:00,150,03091_01-06-2023-09.00
03093,AVE,2023-06-01 09:30:00,187,03093_01-06-2023-09.30
06303,AVLO,2023-06-01 10:30:00,165,06303_01-06-2023-10.30
03113,AVE,2023-06-01 11:30:00,192,03113_01-06-2023-11.30
03123,AVE,2023-06-01 12:30:00,190,03123_01-06-2023-12.30
03131,AVE,2023-06-01 13:00:00,150,03131_01-06-2023-13.00
19725,AVE,2023-06-01 13:25:00,177,19725_01-06-2023-13.25
03143,AVE,2023-06-01 14:30:00,170,03143_01-06-2023-14.30
03151,AVE,2023-06-01 15:00:00,149,03151_01-06-2023-15.00
03153,AVE,2023-06-01 15:30:00,192,03153_01-06-2023-15.30
03161,AVE,2023-06-01 16:00:00,150,03161_01-06-2023-16.00
03163,AVE,2023-06-01 16:30:00,165,03163_01-06-2023-16.30
03171,AVE,2023-06-01 17:00:00,150,03171_01-06-2023-17.00
03173,AVE,2023-06-01 17:30:00,192,03173_01-06-2023-17.30
06307,AVLO,2023-06-01 18:00:00,150,06307_01-06-2023-18.00
03183,AVE,2023-06-01 18:30:00,170,03183_01-06-2023-18.30
03191,AVE,2023-06-01 19:00:00,150,03191_01-06-2023-19.00
06309,AVLO,2023-06-01 19:30:00,196,06309_01-06-2023-19.30
03201,AVE,2023-06-01 20:00:00,150,03201_01-06-2023-20.00
03203,AVE,2023-06-01 20:40:00,195,03203_01-06-2023-20.40
03211,AVE,2023-06-01 21:10:00,150,03211_01-06-2023-21.10
