stop_id,stop_name,renfe_id,stop_lat,stop_lon
00000,Unknown,00000,0.000000,0.000000
31412,A Corunya,31412,43.352761,-8.409755
60911,Alicante/alacant,60911,38.34445,-0.4950527
60600,Albacete-Los Llanos,60600,38.999384,-1.84845
60400,Alcazar de San Juan,60400,39.395628,-3.205744
55020,Algeciras,55020,36.126831,-5.451108
56312,Almeria,56312,36.834951,-2.455519
10400,Avila,10400,40.657255,-4.683312
37606,Badajoz,37606,38.890696,-6.981753
65318,Benicassim,65318,40.0579451,0.0577646
54400,Bobadilla,54400,37.037073,-4.727942
11014,Burgos-Rosa de Lima,11014,42.371197,-3.666308
35400,Caceres,35400,39.461131,-6.385679
51405,Cadiz,51405,36.5290083,-6.2882055
70600,Calatayud,70600,41.346692,-1.63868
50417,Campus Universitario Rabanales/ Cordoba,50417,37.91256,-4.72086
61307,Cartagena,61307,37.604967,-0.975122
65300,Castello,65300,39.9882552,-0.0524126
37200,Ciudad Real,37200,38.9853,-3.913633
50500,Cordoba,50500,37.888291,-4.789453
60905,Elda-Petrer,60905,38.484879,-0.80109
03410,ELX AV,3410,38.24551,-0.76675
21010,Ferrol,21010,43.4880349,-8.231143
79309,Figueres,79309,42.265065,2.968787
04307,Figueres Vilafant,4307,42.264771,2.943547
69110,Gandia,69110,38.9702805,-0.1797722
79300,Girona,79300,41.979303,2.817006
05000,Granada,5000,37.184038,-3.609154
43019,Huelva,43019,37.253079,-6.950971
74200,Huesca,74200,42.133594,-0.409745
80100,Pamplona/irunya,IRUN-,42.824877,-1.661419
03100,Jaen,3100,37.779827,-3.790798
64100,Xativa,64100,38.9920972,-0.5244888
51300,Jerez de La Frontera,51300,36.680029,-6.1264716
15100,Leon,15100,42.596048,-5.582428
50300,Linares-Baeza,50300,38.068864,-3.589396
78400,Lleida,78400,41.620696,0.632669
81100,Logronyo,81100,42.457459,-2.442193
06006,Lorca Sutullena,6006,37.6725714,-1.6959002
20309,Lugo,20309,43.015222,-7.552176
54413,Malaga Maria Zambrano,54413,36.7113388,-4.4313888
37500,Merida,37500,38.921503,-6.343794
11200,Miranda de Ebro,11200,42.691024,-2.940366
20300,Monforte de Lemos,20300,42.529682,-7.503589
78301,Monzon-Rio Cinca,78301,41.913679,0.196939
61200,Murcia,61200,37.97465,-1.1299555
35206,Navalmoral de La Mata,35206,39.894913,-5.545607
62002,Orihuela-Miguel Hernandez,62002,38.0779194,-0.94445
65304,Orpesa,65304,40.092258,0.139861
22100,Ourense,22100,42.350389,-7.872777
15211,Oviedo,15211,43.366841,-5.854263
23021,Padron-Barbanza,23021,42.738967,-8.652614
14100,Palencia,14100,42.015711,-4.534135
20200,Ponferrada,20200,42.545429,-6.602376
23004,Pontevedra,23004,42.421969,-8.635546
79315,Portbou,79315,42.424494,3.157858
51400,Puerto de Santa Maria,51400,36.6037962,-6.2171641
37300,Puertollano,37300,38.69128,-4.111655
71400,Reus,71400,41.160524,1.099979
03213,Requena Utiel,3213,39.519834,-1.127601
15009,Sahagun,15009,42.369329,-5.022667
11511,San Sebastian/donostia,11511,43.317669,-1.976704
31400,Santiago de Compostela,31400,42.870842,-8.544697
51003,Sevilla-Santa Justa,51003,37.3921277,-5.9752694
82100,Soria,82100,41.754754,-2.476537
67200,Teruel,67200,40.341029,-1.110284
92102,Toledo,92102,39.862272,-4.011244
81202,Tudela de Navarra,81202,42.059434,-1.597931
50102,Valdepenyas,50102,38.762868,-3.39572
10600,Valladolid,10600,41.642167,-4.726986
37704,Villanueva de Cordoba-Los Pedroches,37704,38.2554049,-4.570952
60902,Villena,60902,38.631738,-0.867689
03309,Villena Av,3309,38.585302,-0.873295
11208,Vitoria/gasteiz,11208,42.841517,-2.672601
40100,Zafra,40100,38.413635,-6.405083
40008,Zafra Feria,40008,38.424403,-6.410084
30200,Zamora,30200,41.515892,-5.739675
60000,Madrid-Puerta de Atocha,MADRI,40.406442,-3.690886
10500,Medina del Campo,MEDIN,41.317617,-4.909923
31200,Puebla de Sanabria,PUEBL,42.045763,-6.626848
02002,Puente Genil-Herrera,PTE G,37.3579,-4.821638
22300,Redondela,REDON,42.286005,-8.619402
30100,Salamanca,SALAM,40.972235,-5.64899
70101,San Fernando Henares,S FER,40.442537,-3.5344609
14223,Santander,SANTA,43.458575,-3.811223
12100,Segovia,SEGOV,40.93403,-4.11365
71500,Tarragona,TARRA,41.111624,1.253214
65000,Valencia-Estacio del Nord,VALEN,39.4669346,-0.3771842
08223,Vigo Urzaiz,VIGO-,42.234189,-8.713728
04040,Zaragoza-Delicias,ZARAG,41.658649,-0.911615
02003,Antequera-Santa Ana,ANTEQ,37.069881,-4.719014
71801,Barcelona-Sants,BARCE,41.37922,2.140624
13200,Bilbao-Abando Indalecio Prieto,BILBA,43.259609,-2.92915
66100,Cuenca,CUENC,40.06734,-2.136471
15410,Gijon,GIJON,43.535175,-5.698318
70200,Guadalajara,GUADA,40.6441032,-3.1822298
